chamber,state,district,party,lastName,firstName,phonetic,officialFullName,middleName,suffix,nickname,address,phone,fax,url,caucusesWith,startTerm,endTerm,stateRankSenate,classSenate,gender,birthday,religion,raceEthnicity,lgbtq,contactForm,office,rssUrl,pre2018incumbent,2016presidentClinton,2016presidentTrump,2012presidentObama,2012presidentObama,2008presidentObama,2008presidentMccain,2018senateDem,2018senateRep,priorSenateElectionDem,priorSenateElectionRep,2018houseDem,2018houseRep,2016houseDem,2016houseRep,2014houseDem,2014houseRep,whiteACS2012-16citizenAdultPopulation,blackACS2012-16citizenAdultPopulation,latinoACS2012-16citizenAdultPopulation,asianPacificIslanderACS2012-16citizenAdultPopulation,nativeACS2012-16citizenAdultPopulation,otherACS2012-16citizenAdultPopulation,white2010censusAdultPopulation,black2010censusAdultPopulation,latino2010censusAdultPopulation,asianPacificIslander2010censusAdultPopulation,native2010censusAdultPopulation,other2010censusAdultPopulation,bachelorsPlusACS2013-17,bachelorsPlusRankACS2013-17,whiteBachelorsPlusACS2013-17,whiteBachelorsPlusRankACS2013-17,medianHouseholdIncomeACS2013-17,householdIncomeRankACS2013-17,nonCollegeWhiteShare,citizenPopulation,whiteCitizenPopulation,blackCitizenPopulation,latinoCitizenPopulation,asianPacificIslanderCitizenPopulation,nativeAmericanCitizenPopulation,otherCitizenPopulation,citizenVotingAgePopulation,whiteCitizenVotingAgePopulation,blackCtizenVotingAgePopulation,latinoCitizenVotingAgePopulation,asianPacificIslanderCitizenVotingAgePopulation,nativeCitizenVotingAgePopulation,otherCitizenVotingAgePopulation,censusTotalPopulation,censusWhitePopulation,censusBlackPopulation,censusLatinoPopulation,censusAsianPacificIslanderPopulation,censusNavtiveAmericanPopulation,censusOtherPopulation
rep,CO,4,Republican,Buck,Ken,(KEN BUHK),Ken Buck,,,,2455 Rayburn House Office Building Washington DC 20515-0604,(202) 225-4676,,https://buck.house.gov,,1/3/19,1/3/21,,,M,2/16/59,,White - Non-Hispanic,No,,2455 Rayburn House Office Building,,Won,34.25659565,57.42086589,39.22217163,58.50054893,41.94362489,56.36633229,,,,,39.37655057,60.61289808,31.65851148,63.54004235,29.22336976,64.67276541,80.06838313,1.282183751,15.48107722,1.276547779,0.568293897,1.324453545,77.15778462,1.329485628,18.14005879,1.713108782,0.551529999,1.108032182,34.9,131,39.4,145,67878,113,48.5,725970,551680,8770,138780,9605,3605,13530,532295,426200,6825,82405,6795,3025,7050,717241,529742,8734,151566,12288,3597,11314
rep,CO,5,Republican,Lamborn,Doug,(DUHG LAM-bawrn),Doug Lamborn,,,,2371 Rayburn House Office Building Washington DC 20515-0605,(202) 225-4422,,https://lamborn.house.gov,,1/3/19,1/3/21,,,M,5/24/54,,White - Non-Hispanic,No,,2371 Rayburn House Office Building,http://lamborn.house.gov/news-rss-graphic/news-rss-graphic/,Won,33.22331345,57.16649047,38.30331158,59.11695067,39.69715214,58.76926724,,,,,39.30638704,57.01669579,30.85032031,62.2788286,40.20201252,59.79798748,77.60621231,5.404312305,11.59594834,2.219066536,0.413434835,2.761025678,77.08857005,5.198346495,12.02610017,2.754977199,0.680866051,2.251140029,37,108,40.9,129,62372,151,45.8,737480,546085,39710,104735,16165,2970,27815,556315,431735,30065,64510,12345,2300,15360,719812,530955,37995,102871,19021,4759,24211
rep,CO,6,Democrat,Crow,Jason,(JEY-suhn KROH),,,,,1229 Longworth House Office Building Washington DC 20515-0606,(202) 225-7882,,,,1/3/19,1/3/21,,,M,,,White - Non-Hispanic,No,,1229 Longworth House Office Building,,Lost,50.2195593,41.28792358,51.5576539,46.5000324,53.64495206,44.93397337,,,,,54.10239258,42.87069448,42.60487704,50.90790267,42.99196932,51.89806106,72.32556109,8.532005938,12.2822849,4.432412502,0.377453692,2.052222513,67.34061903,8.416666027,16.71456858,5.311931605,0.410779656,1.805435108,41.8,65,49.4,65,76451,64,36.5,712650,477855,62655,116995,32430,2545,20170,515295,372690,43965,63290,22840,1945,10575,719715,455014,62231,141923,37602,2812,20133
rep,CO,7,Democrat,Perlmutter,Ed,(ED PEARL-muh-ter),Ed Perlmutter,,,,1226 Longworth House Office Building Washington DC 20515-0607,(202) 225-2645,,https://perlmutter.house.gov,,1/3/19,1/3/21,,,M,5/1/53,,White - Non-Hispanic,No,,1226 Longworth House Office Building,http://perlmutter.house.gov/index.php?format=feed&amp;type=rss,Won,51.42252333,39.41235825,56.0916781,41.26057385,57.36897127,40.71137304,,,,,60.41997592,35.41723978,55.18024364,39.79613823,55.07295378,44.92704622,74.30526541,1.38714799,19.66147647,2.665663909,0.545017316,1.434500432,70.91599323,1.303987295,22.65883842,3.225078017,0.576567839,1.319535192,32.5,162,39.2,147,66063,129,45.1,715950,490600,10125,178295,19195,3930,13800,538515,400145,7470,105880,14355,2935,7725,715648,472984,9663,192950,23171,4075,12805
sen,CO,,Democrat,Bennet,Michael,(MAHY-kuhl BEN-et),Michael F. Bennet,F.,,,261 Russell Senate Office Building Washington DC 20510,202-224-5852,202-228-5097,https://www.bennet.senate.gov/public,,1/3/17,1/3/23,senior,3,M,11/28/64,,White - Non-Hispanic,No,https://www.bennet.senate.gov/public/index.cfm/contact,261 Russell Senate Office Building,http://www.bennet.senate.gov/rss/feeds/?type=news,Not up,48.15651271,43.25097734,51.44561533,46.08530215,53.66035357,44.70730747,,,49.97078041,44.30578963,,,,,,,77.130508,3.741070588,14.55546433,2.251571472,0.587929213,1.733717878,73.89111909,3.649476139,17.46935196,2.824780924,0.62956362,1.535708267,39.9,,46,,65458,12,41.65047432,5041535,3657845,193740,927210,115965,28850,117915,3824440,2949810,143075,556665,86110,22485,66305,5029196,3520793,188778,1038687,141225,31244,108469
sen,CO,,Republican,Gardner,Cory,(KAWR-ee GAHRD-ner),Cory Gardner,,,,354 Russell Senate Office Building Washington DC 20510,202-224-5941,202-225-5870,https://www.gardner.senate.gov,,1/6/15,1/3/21,junior,2,M,8/22/74,,White - Non-Hispanic,No,https://www.gardner.senate.gov/contact-cory/email-cory,354 Russell Senate Office Building,,Not up,48.15651271,43.25097734,51.44561533,46.08530215,53.66035357,44.70730747,,,46.26046884,48.20495057,,,,,,,77.130508,3.741070588,14.55546433,2.251571472,0.587929213,1.733717878,73.89111909,3.649476139,17.46935196,2.824780924,0.62956362,1.535708267,39.9,,46,,65458,12,41.65047432,5041535,3657845,193740,927210,115965,28850,117915,3824440,2949810,143075,556665,86110,22485,66305,5029196,3520793,188778,1038687,141225,31244,108469
rep,CT,1,Democrat,Larson,John,(JAHN LAR-suhn),John B. Larson,B.,,,1501 Longworth House Office Building Washington DC 20515-0701,(202) 225-2265,,https://larson.house.gov,,1/3/19,1/3/21,,,M,7/22/48,,White - Non-Hispanic,No,,1501 Longworth House Office Building,http://www.larson.house.gov/index.php?format=feed&amp;type=rss,Won,59.4040283,36.31521957,63.29528561,35.58533021,65.7635593,32.9431583,,,,,63.86773182,35.02735828,64.13230007,33.76975314,62.32820079,36.06864619,69.85160215,12.79689256,13.11364253,2.743229106,0.115269867,1.380332442,68.84851238,12.93826936,12.50601862,4.189507154,0.141358165,1.376334318,36.8,112,42.7,115,70215,94,39.9,664790,435575,91125,103395,20950,780,12965,516180,360560,66055,67690,14160,595,7125,711905,463950,97473,104464,31262,1058,13698
rep,CT,2,Democrat,Courtney,Joe,(JOH KAWRT-nee),Joe Courtney,,,,2332 Rayburn House Office Building Washington DC 20515-0702,(202) 225-2076,,https://courtney.house.gov,,1/3/19,1/3/21,,,M,4/6/53,,White - Non-Hispanic,No,,2332 Rayburn House Office Building,http://courtney.house.gov/index.php?format=feed&amp;type=rss,Won,48.65593764,45.77295324,55.88645428,42.56862887,58.5881081,40.00252669,,,,,62.16613516,35.44726302,63.22893989,33.65530481,62.28364435,35.49593853,86.43364821,3.473351483,5.944528695,2.175184082,0.196415194,1.776872339,86.03623082,3.663465765,5.653337717,2.857939296,0.378997702,1.410028697,35.1,130,36.3,179,74784,71,55,687725,578520,23370,50165,16275,1480,17915,547310,473060,19010,32535,11905,1075,9725,712938,600037,25834,48295,20733,2930,15109
rep,CT,3,Democrat,DeLauro,Rosa,(ROH-zuh duh-LAHR-oh),Rosa L. DeLauro,L.,,,2413 Rayburn House Office Building Washington DC 20515-0703,(202) 225-3661,,https://delauro.house.gov,,1/3/19,1/3/21,,,F,3/2/43,Roman Catholic,White - Non-Hispanic,No,,2413 Rayburn House Office Building,http://delauro.house.gov/index.php?format=feed&amp;type=rss,Won,55.87673263,40.38317533,62.59685864,36.29319372,62.63705422,36.16473339,,,,,64.59911412,35.40088588,69.0324812,30.96073101,67.10246174,32.89753826,72.95283722,12.27967596,10.535945,2.704716278,0.201816347,1.326895329,72.48319409,11.56392101,10.58120328,3.799226813,0.156305166,1.416149641,36.2,116,39.9,138,67774,115,43.7,670070,460205,88445,88010,19300,1290,12825,530185,386785,65105,55860,14340,1070,7035,716978,493119,90043,90729,27822,1127,14138
rep,CT,4,Democrat,Himes,James,(JIM HAHYMZ),James A. Himes,A.,,,1227 Longworth House Office Building Washington DC 20515-0704,(202) 225-5541,,https://himes.house.gov,,1/3/19,1/3/21,,,M,7/5/66,,White - Non-Hispanic,No,,1227 Longworth House Office Building,http://himes.house.gov/rss.xml,Won,59.56587182,36.55598145,55.07341661,44.0241843,59.59475529,39.73776467,,,,,61.21000831,38.78854058,59.90017223,40.09823308,53.7397028,46.2602972,71.42797131,11.46829939,12.53951417,3.579117613,0.138627795,0.845419507,66.78766219,10.88623934,16.21781432,4.632089057,0.091212965,1.38498213,48.8,29,60.7,24,94862,21,28,646375,437525,75770,97785,24415,750,10125,476095,340065,54600,59700,17040,660,4025,717177,465506,79783,124345,33266,735,13542
rep,CT,5,Democrat,Hayes,Jahana,(juh-HAHN-uh HEYZ),,,,,1415 Longworth House Office Building Washington DC 20515-0705,(202) 225-4476,,,,1/3/19,1/3/21,,,F,,,Black - African-American,No,,1415 Longworth House Office Building,,Open - Retired,49.92981902,45.82709761,53.52605892,45.30828833,56.35701512,42.40877222,,,,,55.87185588,44.12334112,57.99496574,41.99565164,53.31015569,45.76715943,78.27658787,5.841827288,12.53434936,2.290931769,0.077955994,0.979322173,76.65222062,5.620802304,13.13554677,2.907966762,0.14159803,1.541865513,36.3,115,40,135,68904,105,46.8,664980,493035,38745,105360,17190,580,10070,513110,401645,29975,64315,11755,400,5025,715099,523650,41986,111254,21966,1035,15208
sen,CT,,Democrat,Blumenthal,Richard,(DIK BLOO-mun-thawl),Richard Blumenthal,,,,706 Hart Senate Office Building Washington DC 20510,202-224-2823,202-224-9673,https://www.blumenthal.senate.gov,,1/3/17,1/3/23,senior,3,M,2/13/46,,White - Non-Hispanic,No,https://www.blumenthal.senate.gov/contact/,706 Hart Senate Office Building,http://www.blumenthal.senate.gov/rss/feeds/?type=all,Not up,54.5663011,40.92691438,58.05728441,40.72494232,60.58885361,38.2214401,,,63.2879756,34.5288423,,,,,,,75.96616955,9.088498111,10.84448368,2.67917983,0.147122592,1.27512699,74.22876795,8.923057058,11.56828125,3.671091393,0.182947043,1.425855306,38.6,,43.3,,73781,6,43.07281813,3333940,2404860,317455,444715,98130,4880,63900,2582880,1962115,234745,280100,69200,3800,32935,3574097,2546262,335119,479087,135049,6885,71695
sen,CT,,Democrat,Murphy,Christopher,(KRIS MUR-fee),Christopher Murphy,S.,,,,,,https://www.murphy.senate.gov,,1/3/19,1/3/25,junior,1,M,8/3/73,,White - Non-Hispanic,No,,,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,Won,54.5663011,40.92691438,58.05728441,40.72494232,60.58885361,38.2214401,59.52950593,39.34967264,55.29342353,43.03320963,,,,,,,75.96616955,9.088498111,10.84448368,2.67917983,0.147122592,1.27512699,74.22876795,8.923057058,11.56828125,3.671091393,0.182947043,1.425855306,38.6,,43.3,,73781,6,43.07281813,3333940,2404860,317455,444715,98130,4880,63900,2582880,1962115,234745,280100,69200,3800,32935,3574097,2546262,335119,479087,135049,6885,71695
rep,DC,0,Democrat,Norton,Eleanor,,Eleanor Holmes Norton,Holmes,,,2136 Rayburn House Office Building Washington DC 20515-5101,(202) 225-8050,,https://norton.house.gov,,1/3/19,1/3/21,,,F,6/13/37,Episcopalian,,,,2136 Rayburn House Office Building,http://norton.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rep,DE,0,Democrat,Blunt Rochester,Lisa,(LEE-suh BLUNT RAH-ches-ter),Lisa Blunt Rochester,,,,1519 Longworth House Office Building Washington DC 20515-0800,(202) 225-4165,,https://bluntrochester.house.gov,,1/3/19,1/3/21,,,F,2/10/62,,Black - African-American,No,,1519 Longworth House Office Building,,Won,53.35333681,41.92282434,58.61074198,39.98260407,61.94266898,36.94703355,,,,,64.45396995,35.54603005,55.52652413,40.96386974,59.25774015,36.76155032,70.50119263,20.59218015,5.072101268,2.202550551,0.339300085,1.292675323,69.00569081,19.50159571,6.665424196,3.155876672,0.324776175,1.346636443,31,176,33.8,209,61757,158,46.6,890715,589905,191990,63760,21635,2930,20495,689655,486215,142015,34980,15190,2340,8915,897934,586752,186782,73221,28546,2824,19809
sen,DE,,Democrat,Carper,Thomas,(TAHM KAHR-per),Thomas R. Carper,Richard,,,,,,https://www.carper.senate.gov/public,,1/3/19,1/3/25,senior,1,M,1/23/47,Presbyterian,White - Non-Hispanic,No,,,http://www.carper.senate.gov/public/index.cfm/rss/feed,Won,53.08597746,41.71274453,58.60635242,39.97960964,61.91204413,36.9287667,59.95306019,37.81853985,66.41900667,28.95344676,,,,,,,70.50119263,20.59218015,5.072101268,2.202550551,0.339300085,1.292675323,69.00569081,19.50159571,6.665424196,3.155876672,0.324776175,1.346636443,31,,33.8,,63036,14,46.67178952,890715,589905,191990,63760,21635,2930,20495,689655,486215,142015,34980,15190,2340,8915,897934,586752,186782,73221,28546,2824,19809
sen,DE,,Democrat,Coons,Chris,(KRIS KOONZ),Christopher A. Coons,Andrew,,,127A Russell Senate Office Building Washington DC 20510,202-224-5042,202-228-3075,https://www.coons.senate.gov,,1/6/15,1/3/21,junior,2,M,9/9/63,,White - Non-Hispanic,No,https://www.coons.senate.gov/contact,127a Russell Senate Office Building,http://www.coons.senate.gov/rss/feeds/?type=all,Not up,53.08597746,41.71274453,58.60635242,39.97960964,61.91204413,36.9287667,,,55.82640426,42.2251942,,,,,,,70.50119263,20.59218015,5.072101268,2.202550551,0.339300085,1.292675323,69.00569081,19.50159571,6.665424196,3.155876672,0.324776175,1.346636443,31,,33.8,,63036,14,46.67178952,890715,589905,191990,63760,21635,2930,20495,689655,486215,142015,34980,15190,2340,8915,897934,586752,186782,73221,28546,2824,19809
rep,FL,1,Republican,Gaetz,Matt,(MAT GEYTS),Matt Gaetz,,,,1721 Longworth House Office Building Washington DC 20515-0901,(202) 225-4136,,https://gaetz.house.gov,,1/3/19,1/3/21,,,M,5/7/82,,White - Non-Hispanic,No,,1721 Longworth House Office Building,,Won,28.1670613,67.51091818,30.1,68.5,32,66.8,,,,,32.94136258,67.05863742,30.90014248,69.09985752,23.35994697,70.14697697,77.54231676,12.82879924,4.533213248,2.128861929,0.512127714,2.453798133,77.56156258,12.50445236,4.544456276,2.666619913,0.765714307,1.957194559,27.9,237,30.5,263,53006,252,53.8,725045,543365,96375,38725,14665,3545,28375,566265,439095,72645,25670,12055,2900,13895,696535,522979,94989,35965,17410,5027,20165
rep,FL,2,Republican,Dunn,Neal,(NEEL DUHN),Neal P. Dunn,,,,316 Cannon House Office Building Washington DC 20515-0902,(202) 225-5235,,https://dunn.house.gov,,1/3/19,1/3/21,,,M,2/16/53,,White - Non-Hispanic,No,,316 Cannon House Office Building,,Won,30.6061733,66.20434543,34,64.6,35.2,63.4,,,,,32.5586667,67.4413333,29.93953903,67.32340795,      Redrawn,,79.94271686,12.76413893,4.335333697,1.180214584,0.445535552,1.332060375,79.73203477,12.19678697,4.827379056,1.45724298,0.496791517,1.289764711,23.4,321,24.3,368,46062,360,60.5,691555,541195,88900,35945,8700,2935,13880,549900,439605,70190,23840,6490,2450,7325,691866,541277,86305,37570,10224,3395,13095
rep,FL,3,Republican,Yoho,Ted,(TED YOH-hoh),Ted S. Yoho,S.,,,1730 Longworth House Office Building Washington DC 20515-0903,(202) 225-5744,,https://yoho.house.gov,,1/3/19,1/3/21,,,M,4/13/55,,White - Non-Hispanic,No,,1730 Longworth House Office Building,http://yoho.house.gov/rss.xml,Won,40.19528673,56.15147517,41.9,56.6,44.2,54.6,,,,,42.37575694,57.62424306,39.7834841,56.56346659,      Redrawn,,73.5349699,14.98815439,7.209690355,2.511085095,0.271942035,1.484158224,72.83243678,14.82868171,7.362034126,3.265958599,0.308701453,1.402187339,25.9,274,26.5,322,45970,362,54,689685,487805,110530,56015,17585,1690,16055,542395,398850,81295,39105,13620,1475,8050,693992,487768,111555,56511,21708,2126,14324
rep,FL,4,Republican,Rutherford,John,(JAHN RUH-ther-ferd),John H. Rutherford,,,,1711 Longworth House Office Building Washington DC 20515-0904,(202) 225-2501,,https://rutherford.house.gov,,1/3/19,1/3/21,,,M,9/2/52,,White - Non-Hispanic,No,,1711 Longworth House Office Building,,Won,34.07705553,62.10028984,32.8,66.1,34.8,64.2,,,,,32.35444552,65.15951517,27.60519648,70.1820037,      Redrawn,,80.20871329,8.834283782,6.006067454,3.160058006,0.212627777,1.579139347,78.97572206,8.959558663,6.21907792,4.043039157,0.301193829,1.501408368,39.2,84,39.8,142,68229,109,48.2,717255,559025,65250,49390,23555,1460,18575,562015,450785,49650,33755,17760,1195,8875,703676,539580,68319,48895,29091,2060,15731
rep,FL,5,Democrat,Lawson,Al,(AL LAW-suhn),"Al Lawson, Jr.",,,,1406 Longworth House Office Building Washington DC 20515-0905,(202) 225-0123,,https://lawson.house.gov,,1/3/19,1/3/21,,,M,9/23/48,,Black - African-American,No,,1406 Longworth House Office Building,,Won,61.26618622,35.85466128,63.6,35.4,63.2,35.9,,,,,66.78121971,33.21878029,64.23430205,35.76569795,      Redrawn,,45.58588693,45.34588164,5.410512988,1.87090739,0.283470817,1.502395328,46.71510748,43.14335453,6.010634272,2.382114744,0.341924008,1.406864971,21.4,357,25,350,40932,410,34.1,692450,288595,330510,43985,12560,1735,15070,529155,241220,239950,28630,9900,1500,7950,693320,298405,317227,45553,15790,2241,14104
rep,FL,6,Republican,Waltz,Michael,(MAHY-kuhl WAWLTS),,,,,216 Cannon House Office Building Washington DC 20515-0906,(202) 225-2706,,,,1/3/19,1/3/21,,,M,,,White - Non-Hispanic,No,,216 Cannon House Office Building,,Open - Elected governor,39.87662057,56.85590462,46.6,52.2,50.1,48.7,,,,,43.68602933,56.31397067,41.43264668,58.56735332,      Redrawn,,79.20543276,9.298645288,9.003008539,1.276455141,0.308679547,0.908648244,79.47091935,8.903556034,8.771339043,1.513583258,0.28481596,1.055786354,23.9,308,24.9,354,46882,352,59.4,706230,536855,71515,75620,9240,2145,10855,575030,455455,53470,51770,7340,1775,5225,699410,534141,68545,72835,10704,1958,11227
rep,FL,7,Democrat,Murphy,Stephanie,(STEF-uh-nee MUR-fee),Stephanie N. Murphy,,,,1710 Longworth House Office Building Washington DC 20515-0907,(202) 225-4035,,https://stephaniemurphy.house.gov,,1/3/19,1/3/21,,,F,9/16/78,,Asian - Vietnamese,No,,1710 Longworth House Office Building,,Won,51.39460221,44.10357227,49.4001,49.4,51.1,48,,,,,57.69191992,42.30808008,51.47361129,48.51705758,      Redrawn,,65.69341744,9.579234132,19.93501616,3.283584791,0.116753704,1.391088706,66.75088382,8.947145677,18.6874528,3.867665354,0.226565436,1.52028691,37.8,96,44.3,96,57146,207,36.5,696785,436290,70375,152665,23450,785,13210,552445,362920,52920,110130,18140,645,7685,695696,445353,65935,141621,26859,1565,14363
rep,FL,8,Republican,Posey,Bill,(BILL POH-zee),Bill Posey,,,,2150 Rayburn House Office Building Washington DC 20515-0908,(202) 225-3671,,https://posey.house.gov,,1/3/19,1/3/21,,,M,12/18/47,,White - Non-Hispanic,No,,2150 Rayburn House Office Building,http://posey.house.gov/news/rss.aspx?documenttypeid=1487,Won,37.67301716,58.38307486,42.1,56.6,43.8,54.9,,,,,39.50189584,60.49810416,32.54984497,63.10998794,34.14191678,65.83586205,80.92598515,8.54475358,7.39704367,1.494154852,0.234516576,1.403546175,80.40376836,8.337168428,7.653476924,1.97389509,0.295108329,1.336582868,29,219,30.4,265,50752,294,56.2,695070,539340,66415,61910,11150,1695,14560,562860,455500,48095,41635,8410,1320,7900,695476,538048,65465,62145,13601,2035,14182
rep,FL,9,Democrat,Soto,Darren,(DAIR-ren SOH-toh),Darren Soto,,,,1507 Longworth House Office Building Washington DC 20515-0909,(202) 225-9889,,https://soto.house.gov,,1/3/19,1/3/21,,,M,2/25/78,,Hispanic - Puerto Rican,No,,1507 Longworth House Office Building,,Won,54.79707178,41.890444,55.6,43.4,54.6,44.5,,,,,58.0217499,41.9782501,57.48482021,42.51517979,      Redrawn,,51.3613325,11.33721478,33.22593409,2.613381569,0.224219471,1.237917585,52.37896614,10.7181781,32.22181002,2.989925939,0.238156107,1.452963688,24.6,295,28.8,286,49899,315,36.4,714440,333835,86785,261975,17930,1275,12630,530730,272590,60170,176340,13870,1190,6570,693475,334024,79271,244747,20291,1544,13598
rep,FL,10,Democrat,Demings,Val,(VAL DEM-ingz),Val Butler Demings,,,,217 Cannon House Office Building Washington DC 20515-0910,(202) 225-2176,,https://demings.house.gov,,1/3/19,1/3/21,,,F,3/12/57,,Black - African-American,No,,217 Cannon House Office Building,,Won,61.76400696,34.87267554,60.7,38.4,60.9,38.5,,,,,100,0,64.86867175,35.13132825,      Redrawn,,46.08935466,25.54881412,21.86832473,4.652258938,0.102291531,1.737953167,44.1161705,24.96369431,22.97847049,5.406902601,0.227163001,2.307599093,30.3,190,38.3,154,50151,307,28.2,674450,283315,184280,160885,30605,835,14535,498575,229790,127380,109030,23195,510,8665,694368,282252,186708,168629,35871,1551,19357
rep,FL,11,Republican,Webster,Daniel,(DAN-yuhl WEB-ster),Daniel Webster,,,,1210 Longworth House Office Building Washington DC 20515-0911,(202) 225-1002,,https://webster.house.gov,,1/3/19,1/3/21,,,M,4/27/49,,White - Non-Hispanic,No,,1210 Longworth House Office Building,http://webster.house.gov/news/rss.aspx,Won,32.46925776,64.782797,39.8,59.2,42.6,56.1,,,,,34.84378486,65.14043308,31.59538811,65.36700792,      Redrawn,,84.40426138,6.218697131,7.311680263,0.88694953,0.268011189,0.910400509,84.39165824,5.951761477,7.2916431,1.127909183,0.295508377,0.941519623,20.6,374,21.2,406,43610,388,66.4,710335,578940,48840,63285,6665,1770,10840,596990,503885,37125,43650,5295,1600,5435,692014,563980,46961,60756,8285,2057,9975
rep,FL,12,Republican,Bilirakis,Gus,(GUHS bil-uh-RAK-is),Gus M. Bilirakis,M.,,,2227 Rayburn House Office Building Washington DC 20515-0912,(202) 225-5755,,https://bilirakis.house.gov,,1/3/19,1/3/21,,,M,2/8/63,,White - Non-Hispanic,No,,2227 Rayburn House Office Building,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,Won,38.84745121,57.44261312,45.5,53,47.4,51.2,,,,,39.66463433,58.09302576,31.40917956,68.59082044,      Redrawn,,83.98278024,3.914470466,8.974552829,1.880297788,0.311307581,0.936591093,84.74660582,3.316229519,8.517483198,2.107247584,0.247275375,1.065158503,26.9,255,26.7,318,49774,317,61.5,701195,568335,30220,74905,14310,2085,11345,562145,472105,22005,50450,10570,1750,5265,694735,569187,26134,70632,15567,1641,11574
rep,FL,13,Democrat,Crist,Charlie,(CHAR-lee KRIST),Charlie Crist,,,,215 Cannon House Office Building Washington DC 20515-0913,(202) 225-5961,,https://crist.house.gov,,1/3/19,1/3/21,,,M,7/24/56,,White - Non-Hispanic,No,,215 Cannon House Office Building,,Won,49.58753742,46.38762612,54.6,43.9,55.5,43,,,,,57.64470567,42.35529433,51.90309182,48.09690818,      Redrawn,,78.07697159,11.20520351,6.432316535,2.781931857,0.291886633,1.212590764,77.74523314,10.57694827,7.121860738,3.035558653,0.250809104,1.269590095,27.8,242,28.8,286,48519,331,55.5,675410,499855,84770,54440,19745,1930,14680,555010,433335,62190,35700,15440,1620,6730,697259,515948,85309,58531,22253,1685,13533
rep,FL,14,Democrat,Castor,Kathy,(KATH-ee KAS-tur),Kathy Castor,,,,2052 Rayburn House Office Building Washington DC 20515-0914,(202) 225-3376,,https://castor.house.gov,,1/3/19,1/3/21,,,F,8/20/66,,White - Non-Hispanic,No,,2052 Rayburn House Office Building,http://castor.house.gov/news/rss.aspx,Won,57.15833467,38.97824975,57.6,41.2,58.1,40.9,,,,,100,0,61.78706564,38.21293436,      Redrawn,,55.11405732,17.02768571,22.84558393,3.346656268,0.205693118,1.46032365,52.09064263,16.40889846,25.80679783,3.894094832,0.220574085,1.578992169,35.3,128,46.5,83,51410,281,29.4,668930,340260,122800,168735,22745,1360,13030,512900,282680,87335,117175,17165,1055,7490,699039,340252,125058,190290,27136,1469,14834
rep,FL,15,Republican,Spano,Ross,(RAWS SPAN-oh),,,,,224 Cannon House Office Building Washington DC 20515-0915,(202) 225-1252,,,,1/3/19,1/3/21,,,M,,,White - Non-Hispanic,No,,224 Cannon House Office Building,,Open - Retired,43.11427188,53.10177629,46.6,52.2,46.7,52.1,,,,,46.9761708,53.01682473,42.53879438,57.46120562,      Redrawn,,67.3211452,13.17032405,15.38165394,2.459224203,0.236626384,1.431026226,67.26813208,12.31597933,16.0852626,2.573477025,0.310482147,1.446666817,25.8,277,27.3,308,53784,244,48.8,703740,440175,98595,131210,17190,1805,14765,532485,358475,70130,81905,13095,1260,7620,704327,445708,93944,129668,18080,2121,14806
rep,FL,16,Republican,Buchanan,Vern,(VERN BYOO-kan-uhn),Vern Buchanan,,,,2427 Rayburn House Office Building Washington DC 20515-0916,(202) 225-5015,,https://buchanan.house.gov,,1/3/19,1/3/21,,,M,5/8/51,,White - Non-Hispanic,No,,2427 Rayburn House Office Building,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,Won,42.95337532,53.7467837,45.1,53.7,47.7,51.2,,,,,45.43854608,54.56145392,40.23207123,59.76792877,      Redrawn,,80.27490612,7.62815424,9.365717905,1.602875721,0.247076558,0.881269456,78.24608669,6.637864588,12.31676043,1.656629761,0.202058766,0.940599765,30.7,183,33.2,220,55447,225,53.5,707850,528340,61475,94880,11835,1670,9650,560555,449985,42760,52500,8985,1385,4940,698285,512728,54263,107028,12118,1435,10713
rep,FL,17,Republican,Steube,W.,(GREG STOO-bee),,Gregory,,,521 Cannon House Office Building Washington DC 20515-0917,(202) 225-5792,,,,1/3/19,1/3/21,,,M,,,White - Non-Hispanic,No,,521 Cannon House Office Building,,Open - Retired,35.01911768,62.21538966,41.3,57.6,43.9,54.7,,,,,37.7412083,62.2587917,34.24344873,61.81383332,      Redrawn,,82.38969741,6.761739315,8.802935494,1.057380391,0.227784376,0.759576693,80.05639998,6.329567423,11.42064097,1.084192044,0.306120639,0.803078942,21.3,360,23.2,388,45508,365,63.2,687455,536330,51170,81075,7625,1700,9555,564130,464785,38145,49660,5965,1285,4285,694462,527934,49044,98462,7898,2357,8767
